No errors
No warnings
263 ms
data source=metars
4811 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
EHKD 061525Z AUTO 03010KT 360V070 9999 NCD 14/10 Q1012 BLU 04010KT 9999 FEW016,EHKD,2017-05-06T15:25:00Z,52.92,4.77,14.0,10.0,30,10,,6.21,29.88189,,,TRUE,,,,,,,,FEW,1600,,,,,,,VFR,,,,,,,,,,,,METAR,14.0
KGEV 061525Z AUTO 31017G27KT 10SM BKN031 08/01 A2962 RMK AO2 T00750006,KGEV,2017-05-06T15:25:00Z,36.43,-81.42,7.5,0.6,310,17,27,10.0,29.619095,,,TRUE,TRUE,,,,,,,BKN,3100,,,,,,,VFR,,,,,,,,,,,,SPECI,969.0
KFBG 061524Z AUTO 28011G18KT 10SM -RA SCT019 BKN024 BKN049 14/11 A2960 RMK AO2 CIG 019V024 SLP026,KFBG,2017-05-06T15:24:00Z,35.12,-78.92,14.0,11.0,280,11,18,10.0,29.601377,1002.6,,TRUE,TRUE,,,,,,-RA,SCT,1900,BKN,2400,BKN,4900,,,MVFR,,,,,,,,,,,,SPECI,74.0
CYPD 061524Z AUTO 13015G27KT 6SM -RA BR OVC003 08/07 A3020 RMK SLP233,CYPD,2017-05-06T15:24:00Z,45.67,-61.37,8.0,7.0,130,15,27,6.0,30.200787,1023.3,,TRUE,,,,,,,-RA BR,OVC,300,,,,,,,LIFR,,,,,,,,,,,,SPECI,114.0
CYTR 061523Z 36004KT 10SM -DZ OVC009 11/10 A2930 RMK SF8 SLP926,CYTR,2017-05-06T15:23:00Z,44.12,-77.52,11.0,10.0,360,4,,10.0,29.300198,992.6,,,,,,,,,-DZ,OVC,900,,,,,,,IFR,,,,,,,,,,,,SPECI,86.0
KDUJ 061523Z AUTO 26009KT 3SM BR BKN007 BKN011 OVC018 06/04 A2939 RMK AO2 T00610044 $,KDUJ,2017-05-06T15:23:00Z,41.17,-78.9,6.1,4.4,260,9,,3.0,29.388779,,,TRUE,TRUE,TRUE,,,,,BR,BKN,700,BKN,1100,OVC,1800,,,IFR,,,,,,,,,,,,SPECI,554.0
KBML 061523Z AUTO 12018G25KT 10SM FEW026 SCT035 13/10 A2954 RMK AO2 PRESFR T01330100,KBML,2017-05-06T15:23:00Z,44.58,-71.18,13.3,10.0,120,18,25,10.0,29.53937,,,TRUE,TRUE,,,,,,,FEW,2600,SCT,3500,,,,,VFR,,,,,,,,,,,,SPECI,345.0
PAEH 061523Z AUTO 13019G24KT 10SM BKN010 04/03 A2944 RMK AO2 SLP977,PAEH,2017-05-06T15:23:00Z,58.65,-162.07,4.0,3.0,130,19,24,10.0,29.438976,997.7,,TRUE,TRUE,,,,,,,BKN,1000,,,,,,,MVFR,,,,,,,,,,,,SPECI,161.0
KPOB 061523Z AUTO 29008KT 10SM -RA BKN020 BKN070 BKN140 14/11 A2960 RMK AO2 SLP026 $,KPOB,2017-05-06T15:23:00Z,35.17,-79.02,14.0,11.0,290,8,,10.0,29.601377,1002.6,,TRUE,TRUE,TRUE,,,,,-RA,BKN,2000,BKN,7000,BKN,14000,,,MVFR,,,,,,,,,,,,SPECI,66.0
EGUL 061523Z AUTO 03010KT 9999 OVC024 12/11 A2991 RMK AO2 SLP132,EGUL,2017-05-06T15:23:00Z,52.42,0.57,12.0,11.0,30,10,,6.21,29.911417,1013.2,,TRUE,TRUE,,,,,,,OVC,2400,,,,,,,MVFR,,,,,,,,,,,,METAR,10.0
